tokenId;minRarity;averageRarity;sumRarity;countsBelow10;countsBelow20;countsBelow50;spots;countsOld;countsMystic;countsNew;ranking
8373;2;47,125;377;3;4;5;8;1;3;1;1
4938;5;58,63636364;645;4;4;5;11;1;3;1;2
5554;6;66,45454545;731;3;3;4;11;0;3;1;3
2030;7;49,71428571;348;2;4;4;7;0;3;1;4
2533;7;54,83333333;329;3;3;3;6;0;3;0;5
9517;7;57,22222222;515;2;3;5;9;1;3;1;6
3706;7;63,3;633;2;3;4;10;0;3;1;7
1330;7;76,81818182;845;3;3;3;11;0;3;0;8
3295;8;48,22222222;434;1;5;5;9;2;3;0;9
5121;9;45,7;457;1;5;6;10;0;3;3;10
534;9;49,77777778;448;1;4;5;9;0;3;2;11
8210;9;63;693;1;5;5;11;1;3;1;12
5079;10;62,54545455;688;2;4;5;11;0;3;2;13
8888;3;46,75;374;1;5;5;8;1;2;2;14
4435;3;58;406;2;3;3;7;0;2;1;15
4695;3;60,54545455;666;2;3;5;11;1;2;2;16
9467;3;62;434;2;3;3;7;0;2;1;17
2887;3;63,125;505;2;3;3;8;1;2;0;18
1263;3;68,81818182;757;2;2;4;11;0;2;2;19
719;3;76,7;767;2;2;3;10;0;2;1;20
1753;4;38;228;3;3;4;6;1;2;1;21
4528;4;42,625;341;2;5;5;8;3;2;0;22
1313;4;63,3;633;2;4;4;10;2;2;0;23
2465;5;28,16666667;169;2;3;5;6;1;2;2;24
8408;5;38,8;388;3;7;7;10;4;2;1;25
3910;5;39;312;2;2;6;8;2;2;2;26
2404;5;47,09090909;518;2;3;7;11;0;2;5;27
4784;5;53;424;2;3;4;8;1;2;1;28
7892;5;54,375;435;2;3;4;8;1;2;1;29
9483;5;56,9;569;2;4;5;10;1;2;2;30
2837;5;63,4;634;2;4;4;10;2;2;0;31
6068;5;64,3;643;2;3;4;10;0;2;2;32
2797;5;66,375;531;1;2;3;8;0;2;1;33
8458;5;66,55555556;599;2;3;3;9;0;2;1;34
3797;5;69,81818182;768;2;3;3;11;1;2;0;35
4277;5;74,66666667;672;2;2;3;9;1;2;0;36
4485;5;75;750;1;2;2;10;0;2;0;37
2880;5;81,66666667;735;1;2;2;9;0;2;0;38
5049;6;42,8;214;3;3;3;5;1;2;0;39
6459;6;46,28571429;324;2;4;4;7;2;2;0;40
4576;6;47,875;383;2;4;5;8;0;2;3;41
8000;6;48,3;483;3;4;6;10;2;2;2;42
8278;6;48,5;388;2;4;5;8;0;2;3;43
7515;6;50,57142857;354;3;3;4;7;1;2;1;44
1332;6;50,57142857;354;1;3;4;7;0;2;2;45
5720;6;50,63636364;557;3;6;6;11;3;2;1;46
8771;6;51,16666667;307;1;2;3;6;1;2;0;47
5478;6;52,66666667;474;1;4;5;9;1;2;2;48
1275;6;53;318;1;2;3;6;0;2;1;49
1281;6;59,33333333;356;2;2;3;6;1;2;0;50
5123;6;63,6;318;2;2;2;5;0;2;0;51
8031;6;64;640;2;3;4;10;1;2;1;52
7791;6;64,90909091;714;3;4;4;11;2;2;0;53
8948;6;65,36363636;719;2;2;5;11;0;2;3;54
6436;6;66,18181818;728;1;3;4;11;0;2;2;55
7803;6;66,4;664;2;3;4;10;1;2;1;56
6440;6;66,81818182;735;1;2;4;11;0;2;2;57
8496;6;67,71428571;474;1;2;2;7;0;2;0;58
8158;6;68,27272727;751;1;4;4;11;2;2;0;59
5991;6;68,77777778;619;2;3;3;9;0;2;1;60
5827;6;69,27272727;762;3;3;3;11;1;2;0;61
4029;6;70,57142857;494;2;2;2;7;0;2;0;62
7554;6;70,875;567;2;2;3;8;0;2;1;63
3525;6;71,33333333;642;1;2;3;9;0;2;1;64
1149;6;71,72727273;789;1;2;3;11;0;2;1;65
